date,observed_pixels,interpolated_pixels,missing_pixels,observed_fraction,interpolated_fraction,missing_fraction
20240501,2284,0,31389,0.06782882428058089,0.0,0.9321711757194191
20240502,0,2270,31403,0.0,0.06741306090933388,0.9325869390906661
20240503,0,2270,31403,0.0,0.06741306090933388,0.9325869390906661
20240504,0,2270,31403,0.0,0.06741306090933388,0.9325869390906661
20240505,0,2270,31403,0.0,0.06741306090933388,0.9325869390906661
20240506,77,2269,31327,0.0022866985418584624,0.06738336352567338,0.9303299379324681
20240507,31,2330,31312,0.0009206188934754848,0.06919490392896385,0.9298844771775606
20240508,3520,1494,28659,0.10453479048495827,0.04436789118878627,0.8510973183262555
20240509,0,5009,28664,0.0,0.14875419475544205,0.851245805244558
20240510,2346,3663,27664,0.06967006206753185,0.1087815163484097,0.8215484215840585
20240511,0,5973,27700,0.0,0.17738247260416357,0.8226175273958364
20240512,0,5708,27965,0.0,0.1695126659341312,0.8304873340658688
20240513,1006,5115,27552,0.029875567962462508,0.151902117423455,0.8182223146140825
20240514,2105,4767,26801,0.06251299260535147,0.14156742790960117,0.7959195794850473
20240515,790,6180,26703,0.023460933091794613,0.18352983102188697,0.7930092358863184
20240516,996,6107,26570,0.02957859412585751,0.1813619220146705,0.789059483859472
20240517,1700,5833,26140,0.050485552222849166,0.17322483889169366,0.7762896088854572
20240518,7072,1781,24820,0.21001989724705253,0.05289104029934963,0.7370890624535978
20240519,89,8581,25003,0.0026430671457844564,0.2548332491907463,0.7425236836634692
20240520,0,8669,25004,0.0,0.25744661895287024,0.7425533810471298
20240521,0,8551,25122,0.0,0.25394232768093133,0.7460576723190687
20240522,0,8551,25122,0.0,0.25394232768093133,0.7460576723190687
20240523,4140,4655,24878,0.12294716835446796,0.1382413209396252,0.7388115107059068
20240524,288,8459,24926,0.008552846494223859,0.2512101683841654,0.7402369851216107
20240525,0,8491,25182,0.0,0.25216048466130137,0.7478395153386986
20240526,6,8373,25294,0.00017818430196299705,0.2486561933893624,0.7511656223086746
20240527,0,8245,25428,0.0,0.24485492828081845,0.7551450717191815
20240528,1414,6672,25587,0.04199210049594631,0.19814094378285274,0.759866955721201
20240529,1380,4561,27732,0.040982389451489326,0.13544976687553825,0.8235678436729724
20240530,0,5939,27734,0.0,0.1763727615597066,0.8236272384402934
20240531,0,5939,27734,0.0,0.1763727615597066,0.8236272384402934
20240601,0,5939,27734,0.0,0.1763727615597066,0.8236272384402934
20240602,0,5944,27729,0.0,0.1765212484780091,0.8234787515219909
20240603,1620,2414,29639,0.048109761530009204,0.07168948415644581,0.8802007543135449
20240604,0,3809,29864,0.0,0.11311733436284263,0.8868826656371573
20240605,0,4242,29431,0.0,0.12597630148783892,0.8740236985121611
20240606,0,4242,29431,0.0,0.12597630148783892,0.8740236985121611
20240607,0,4249,29424,0.0,0.12618418317346242,0.8738158168265375
20240608,824,4057,28792,0.024470644136251597,0.1204822855106465,0.8550470703531019
20240609,35,4320,29318,0.0010394084281174828,0.1282926974133579,0.8706678941585246
20240610,1,4354,29318,2.969738366049951e-05,0.12930240845781488,0.8706678941585246
20240611,0,4355,29318,0.0,0.12933210584147536,0.8706678941585246
20240612,37,4318,29318,0.0010988031954384818,0.12823330264603688,0.8706678941585246
20240613,0,4355,29318,0.0,0.12933210584147536,0.8706678941585246
20240614,3,3483,30187,8.909215098149852e-05,0.10343598728951979,0.8964749205594987
20240615,969,2556,30148,0.028776764767024024,0.07590651263623675,0.8953167225967392
20240616,0,3514,30159,0.0,0.10435660618299528,0.8956433938170048
20240617,13,3501,30159,0.00038606598758649365,0.10397054019540879,0.8956433938170048
20240618,2404,1298,29971,0.07139251031984083,0.03854720399132836,0.8900602856888308
20240619,0,3170,30503,0.0,0.09414070620378345,0.9058592937962165
20240620,0,3152,30521,0.0,0.09360615329789446,0.9063938467021055
20240621,0,3152,30521,0.0,0.09360615329789446,0.9063938467021055
20240622,0,3152,30521,0.0,0.09360615329789446,0.9063938467021055
20240623,0,4084,29589,0.0,0.12128411486948,0.87871588513052
20240624,0,4774,28899,0.0,0.14177530959522466,0.8582246904047753
20240625,0,5698,27975,0.0,0.1692156920975262,0.8307843079024738
20240626,0,5432,28241,0.0,0.16131618804383333,0.8386838119561667
20240627,0,5432,28241,0.0,0.16131618804383333,0.8386838119561667
20240628,0,5421,28252,0.0,0.16098951682356785,0.8390104831764321
20240629,0,4555,29118,0.0,0.13527158257357527,0.8647284174264247
20240630,0,4555,29118,0.0,0.13527158257357527,0.8647284174264247
20240701,0,4555,29118,0.0,0.13527158257357527,0.8647284174264247
20240702,0,4555,29118,0.0,0.13527158257357527,0.8647284174264247
20240703,1996,2758,28919,0.05927597778635702,0.08190538413565765,0.8588186380779853
20240704,1074,3684,28915,0.03189499005137647,0.1094051614052802,0.8586998485433434
20240705,2670,2149,28854,0.0792920143735337,0.06381967748641344,0.8568883081400529
20240706,0,4707,28966,0.0,0.1397855848899712,0.8602144151100288
20240707,1,4706,28966,2.969738366049951e-05,0.13975588750631068,0.8602144151100288
20240708,0,5767,27906,0.0,0.17126481157010068,0.8287351884298993
20240709,0,5973,27700,0.0,0.17738247260416357,0.8226175273958364
20240710,0,5973,27700,0.0,0.17738247260416357,0.8226175273958364
20240711,0,5974,27699,0.0,0.17741216998782408,0.822587830012176
20240712,0,6029,27644,0.0,0.17904552608915156,0.8209544739108484
20240713,0,6130,27543,0.0,0.18204496183886199,0.817955038161138
20240714,0,5412,28261,0.0,0.16072224037062335,0.8392777596293767
20240715,0,4834,28839,0.0,0.14355715261485463,0.8564428473851454
20240716,5,3228,30440,0.00014848691830249755,0.09586315445609242,0.9039883586256051
20240717,0,3233,30440,0.0,0.09601164137439491,0.9039883586256051
20240718,2177,1264,30232,0.06465120422890744,0.03753749294687138,0.8978113028242212
20240719,481,7873,25319,0.014284441540700264,0.23380750155911265,0.7519080569001871
20240720,0,9669,24004,0.0,0.28714400261336975,0.7128559973866302
20240721,11,9713,23949,0.0003266712202654946,0.28845068749443176,0.7112226412853028
20240722,155,9597,23921,0.004603094467377424,0.2850057909898138,0.7103911145428088
20240723,496,9343,23834,0.014729902295607757,0.2774626555400469,0.7078074421643453
20240724,562,9294,23817,0.016689929617200724,0.27600748374068246,0.7073025866421169
20240725,0,9825,23848,0.0,0.2917767944644077,0.7082232055355923
20240726,0,9825,23848,0.0,0.2917767944644077,0.7082232055355923
20240727,0,9825,23848,0.0,0.2917767944644077,0.7082232055355923
20240728,60,9765,23848,0.0017818430196299706,0.2899949514447777,0.7082232055355923
20240729,8431,2219,23023,0.2503786416416714,0.06589849434264841,0.6837228640156802
20240730,8914,392,24367,0.2647224779496926,0.011641374394915808,0.7236361476553915
20240731,2472,0,31201,0.0734119324087548,0.0,0.9265880675912452
